"pageId","box","type","attributes"
"6","[264,1322,1498,1521]","line","fontSize<10>"
"6","[264,375,1671,1695]","line","fontSize<10>"
"7","[264,1323,284,1986]","region",""
"7","[264,1323,284,1986]","column","lineHeight<25>"
"7","[264,1323,284,1870]","region",""
"7","[264,1323,284,1870]","block","indentation<mixed>lineHeight<25>"
"7","[264,1323,443,1390]","paragraph","fontSize<11>indentation<indent>lineHeight<25>textOrientation<justified>"
"7","[264,1323,1644,1870]","paragraph","fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"7","[264,1323,1404,1630]","paragraph","fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"7","[264,1323,284,429]","paragraph","fontSize<11>indentation<none>lineHeight<25>textOrientation<justified>"
"7","[264,1323,684,710]","line","fontSize<11>"
"7","[264,1323,724,750]","line","fontSize<11>"
"7","[264,1323,764,790]","line","fontSize<11>"
"7","[264,1323,804,830]","line","fontSize<11>"
"7","[264,1323,844,870]","line","fontSize<11>"
"7","[264,1323,964,990]","line","fontSize<11>"
"7","[264,1323,1004,1030]","line","fontSize<11>"
"7","[264,1323,1044,1070]","line","fontSize<11>"
"7","[264,1323,1084,1110]","line","fontSize<11>"
"7","[264,1323,1124,1150]","line","fontSize<11>"
"7","[264,1323,1164,1190]","line","fontSize<11>"
"7","[264,1323,1204,1230]","line","fontSize<11>"
"7","[264,1323,1284,1310]","line","fontSize<11>"
"7","[264,1323,1444,1470]","line","fontSize<11>"
"7","[264,1323,1484,1510]","line","fontSize<11>"
"7","[264,1323,1524,1550]","line","fontSize<11>"
"7","[264,1323,1564,1590]","line","fontSize<11>"
"7","[264,1323,1684,1710]","line","fontSize<11>"
"7","[264,1323,1724,1750]","line","fontSize<11>"
"7","[264,1323,1764,1790]","line","fontSize<11>"
"7","[264,1323,1804,1830]","line","fontSize<11>"
"7","[264,1322,644,670]","line","fontSize<11>"
"7","[264,1322,884,910]","line","fontSize<11>"
"7","[264,1322,924,950]","line","fontSize<11>"
"7","[264,1322,1244,1270]","line","fontSize<11>"
"7","[264,1322,1324,1350]","line","fontSize<11>"
"7","[264,1322,1844,1870]","line","fontSize<11>"
"7","[264,1284,1364,1390]","line","fontSize<11>"
"7","[264,1323,284,309]","line","fontSize<11>"
"7","[264,1323,364,389]","line","fontSize<11>"
"7","[264,1322,324,349]","line","fontSize<11>"
"7","[264,1322,484,509]","line","fontSize<11>"
"7","[264,1322,524,549]","line","fontSize<11>"
"7","[264,1320,564,589]","line","fontSize<11>"
"7","[264,1320,604,629]","line","fontSize<11>"
"7","[312,1323,443,469]","line","fontSize<11>"
"7","[312,1323,1404,1430]","line","fontSize<11>"
"7","[312,1323,1644,1670]","line","fontSize<11>"
"7","[264,1322,1962,1986]","region",""
"7","[264,1322,1962,1986]","block","lineHeight<24>"
"7","[264,1322,1962,1986]","line","fontSize<9>"
"7","[264,1322,1962,1986]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<none>lineHeight<24>textOrientation<justified>"
"7","[264,547,1604,1630]","line","fontSize<11>"
"7","[264,417,404,429]","line","fontSize<11>"
"8","[260,1326,284,1993]","region",""
"8","[260,1326,284,1993]","column","lineHeight<23>"
"8","[264,1323,284,589]","region",""
"8","[264,1323,284,589]","block","lineHeight<25>"
"8","[264,1323,284,589]","paragraph","fontSize<11>indentation<none>lineHeight<25>textOrientation<justified>"
"8","[264,1323,643,806]","region",""
"8","[264,1323,643,806]","block","lineHeight<23>"
"8","[264,1323,643,806]","paragraph","fontSize<10>indentation<none>lineHeight<23>textOrientation<justified>"
"8","[264,1323,1237,1369]","region",""
"8","[264,1323,1237,1369]","block","lineHeight<23>"
"8","[264,1323,1237,1369]","paragraph","fontSize<10>indentation<none>lineHeight<23>textOrientation<justified>"
"8","[264,1298,1658,1764]","region",""
"8","[264,1298,1658,1764]","block","lineHeight<21>"
"8","[264,1319,842,943]","region",""
"8","[264,1319,842,943]","block","lineHeight<21>"
"8","[264,1310,1406,1504]","region",""
"8","[264,1310,1406,1504]","block","lineHeight<21>"
"8","[264,1319,1117,1188]","region",""
"8","[264,1319,1117,1188]","block","lineHeight<30>"
"8","[264,1319,1117,1188]","paragraph","fontSize<9>indentation<none>lineHeight<30>textOrientation<justified>"
"8","[264,1298,1826,1889]","region",""
"8","[264,1298,1826,1889]","block","lineHeight<21>"
"8","[264,1319,999,1060]","region",""
"8","[264,1319,999,1060]","block","lineHeight<21>"
"8","[264,1309,1557,1617]","region",""
"8","[264,1309,1557,1617]","block","lineHeight<21>"
"8","[264,1319,1148,1188]","line","fontSize<9>"
"8","[264,1323,324,349]","line","fontSize<11>"
"8","[264,1323,364,389]","line","fontSize<11>"
"8","[264,1323,444,469]","line","fontSize<11>"
"8","[264,1323,524,549]","line","fontSize<11>"
"8","[264,1322,284,309]","line","fontSize<11>"
"8","[264,1322,404,429]","line","fontSize<11>"
"8","[264,1322,484,509]","line","fontSize<11>"
"8","[260,1326,1969,1993]","region",""
"8","[260,1326,1969,1993]","block","lineHeight<24>"
"8","[260,1326,1969,1993]","line","fontSize<9>"
"8","[260,1326,1969,1993]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<none>lineHeight<24>textOrientation<justified>"
"8","[264,1323,713,737]","line","fontSize<10>"
"8","[264,1322,643,667]","line","fontSize<10>"
"8","[264,1322,678,702]","line","fontSize<10>"
"8","[264,1322,1237,1261]","line","fontSize<10>"
"8","[264,1322,1272,1296]","line","fontSize<10>"
